CMBODY             =                            3
CMBODY_RADIUS      =                     6378.137  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458290.052904        -2861202.102      -151991080.587            6205.865
      2458290.152904        -2608050.015      -151996577.812            6199.005
      2458290.252904        -2354893.113      -152001646.477            6192.317
      2458290.352904        -2101732.099      -152006286.637            6185.804
      2458290.452904        -1848567.678      -152010498.344            6179.467
      2458290.552904        -1595400.551      -152014281.652            6173.310
      2458290.652904        -1342231.420      -152017636.616            6167.335
      2458290.752904        -1089060.984      -152020563.291            6161.543
      2458290.852904         -835889.941      -152023061.734            6155.936
      2458290.952904         -582718.989      -152025131.998            6150.517
      2458291.052904         -329548.824      -152026774.143            6145.286
      2458291.152904          -76380.140      -152027988.224            6140.246
      2458291.252904          176786.369      -152028774.299            6135.397
      2458291.352904          429950.010      -152029132.427            6130.742
      2458291.452904          683110.092      -152029062.665            6126.281
      2458291.552904          936265.924      -152028565.072            6122.016
      2458291.652904         1189416.817      -152027639.708            6117.947
      2458291.752904         1442562.083      -152026286.632            6114.075
      2458291.852904         1695701.033      -152024505.904            6110.401
      2458291.952904         1948832.982      -152022297.584            6106.925
      2458292.052904         2201957.244      -152019661.734            6103.649
      2458292.152904         2455073.135      -152016598.413            6100.572
      2458292.252904         2708179.971      -152013107.683            6097.694
      2458292.352904         2961277.068      -152009189.606            6095.017
      2458292.452904         3214363.746      -152004844.244            6092.540
      2458292.552904         3467439.323      -152000071.658            6090.262
      2458292.652904         3720503.119      -151994871.911            6088.184
      2458292.752904         3973554.454      -151989245.066            6086.306
      2458292.852904         4226592.649      -151983191.186            6084.627
      2458292.952904         4479617.027      -151976710.334            6083.147
      2458293.052904         4732626.911      -151969802.574            6081.866
      2458293.152904         4985621.623      -151962467.969            6080.781
      2458293.252904         5238600.489      -151954706.583            6079.894
      2458293.352904         5491562.832      -151946518.481            6079.203
      2458293.452904         5744507.979      -151937903.727            6078.707
      2458293.552904         5997435.256      -151928862.385            6078.405
      2458293.652904         6250343.989      -151919394.521            6078.295
      2458293.752904         6503233.505      -151909500.200            6078.378
      2458293.852904         6756103.134      -151899179.487            6078.652
      2458293.952904         7008952.202      -151888432.447            6079.114
      2458294.052904         7261780.040      -151877259.147            6079.764
      2458294.152904         7514585.976      -151865659.652            6080.600
      2458294.252904         7767369.341      -151853634.028            6081.621
      2458294.352904         8020129.466      -151841182.342            6082.825
      2458294.452904         8272865.681      -151828304.661            6084.209
      2458294.552904         8525577.318      -151815001.051            6085.773
      2458294.652904         8778263.710      -151801271.580            6087.514
      2458294.752904         9030924.187      -151787116.314            6089.430
      2458294.852904         9283558.084      -151772535.320            6091.519
      2458294.952904         9536164.732      -151757528.667            6093.779
      2458295.052904         9788743.467      -151742096.422            6096.208
      2458295.152904        10041293.621      -151726238.653            6098.803
      2458295.252904        10293814.529      -151709955.428            6101.562
      2458295.352904        10546305.526      -151693246.816            6104.482
      2458295.452904        10798765.945      -151676112.885            6107.561
      2458295.552904        11051195.124      -151658553.703            6110.797
      2458295.652904        11303592.395      -151640569.340            6114.186
      2458295.752904        11555957.097      -151622159.865            6117.727
      2458295.852904        11808288.564      -151603325.346            6121.415
      2458295.952904        12060586.132      -151584065.855            6125.248
      2458296.052904        12312849.139      -151564381.459            6129.225
      2458296.152904        12565076.919      -151544272.230            6133.340
      2458296.252904        12817268.812      -151523738.237            6137.592
      2458296.352904        13069424.152      -151502779.550            6141.977
      2458296.452904        13321542.277      -151481396.240            6146.492
      2458296.552904        13573622.525      -151459588.378            6151.135
      2458296.652904        13825664.233      -151437356.035            6155.901
      2458296.752904        14077666.738      -151414699.281            6160.787
      2458296.852904        14329629.377      -151391618.189            6165.791
      2458296.952904        14581551.489      -151368112.829            6170.908
      2458297.052904        14833432.411      -151344183.273            6176.136
      2458297.152904        15085271.480      -151319829.595            6181.470
      2458297.252904        15337068.035      -151295051.865            6186.908
      2458297.352904        15588821.414      -151269850.156            6192.445
      2458297.452904        15840530.953      -151244224.541            6198.079
      2458297.552904        16092195.991      -151218175.094            6203.805
      2458297.652904        16343815.866      -151191701.887            6209.620
      2458297.752904        16595389.916      -151164804.993            6215.519
      2458297.852904        16846917.478      -151137484.487            6221.501
      2458297.952904        17098397.889      -151109740.443            6227.559
      2458298.052904        17349830.488      -151081572.935            6233.692
      2458298.152904        17601214.612      -151052982.037            6239.894
      2458298.252904        17852549.599      -151023967.824            6246.162
      2458298.352904        18103834.785      -150994530.372            6252.492
      2458298.452904        18355069.509      -150964669.756            6258.881
      2458298.552904        18606253.106      -150934386.052            6265.323
      2458298.652904        18857384.915      -150903679.335            6271.816
      2458298.752904        19108464.272      -150872549.682            6278.355
      2458298.852904        19359490.514      -150840997.171            6284.935
      2458298.952904        19610462.976      -150809021.877            6291.554
      2458299.052904        19861380.996      -150776623.878            6298.207
      2458299.152904        20112243.910      -150743803.252            6304.890
      2458299.252904        20363051.054      -150710560.077            6311.599
      2458299.352904        20613801.762      -150676894.432            6318.329
      2458299.452904        20864495.372      -150642806.394            6325.077
      2458299.552904        21115131.218      -150608296.044            6331.838
      2458299.652904        21365708.635      -150573363.461            6338.608
      2458299.752904        21616226.958      -150538008.724            6345.383
      2458299.852904        21866685.522      -150502231.914            6352.160
      2458299.952904        22117083.660      -150466033.111            6358.932
      2458300.052904        22367420.708      -150429412.397            6365.698
      2458300.152904        22617695.998      -150392369.854            6372.451
      2458300.252904        22867908.864      -150354905.562            6379.189
      2458300.352904        23118058.639      -150317019.605            6385.906
      2458300.452904        23368144.657      -150278712.065            6392.599
      2458300.552904        23618166.249      -150239983.025            6399.263
      2458300.652904        23868122.747      -150200832.569            6405.895
      2458300.752904        24118013.485      -150161260.781            6412.490
      2458300.852904        24367837.792      -150121267.746            6419.043
      2458300.952904        24617595.001      -150080853.549            6425.551
      2458301.052904        24867284.442      -150040018.274            6432.009
      2458301.152904        25116905.445      -149998762.009            6438.413
      2458301.252904        25366457.342      -149957084.840            6444.759
      2458301.352904        25615939.460      -149914986.853            6451.043
      2458301.452904        25865351.131      -149872468.137            6457.261
      2458301.552904        26114691.682      -149829528.778            6463.408
      2458301.652904        26363960.442      -149786168.867            6469.481
      2458301.752904        26613156.740      -149742388.490            6475.474
      2458301.852904        26862279.903      -149698187.739            6481.385
      2458301.952904        27111329.258      -149653566.704            6487.208
      2458302.052904        27360304.132      -149608525.474            6492.940
      2458302.152904        27609203.851      -149563064.142            6498.577
      2458302.252904        27858027.743      -149517182.798            6504.115
      2458302.352904        28106775.131      -149470881.536            6509.549
      2458302.452904        28355445.341      -149424160.447            6514.876
      2458302.552904        28604037.698      -149377019.626            6520.092
      2458302.652904        28852551.526      -149329459.167            6525.192
      2458302.752904        29100986.148      -149281479.164            6530.173
      2458302.852904        29349340.887      -149233079.712            6535.030
      2458302.952904        29597615.067      -149184260.908            6539.760
      2458303.052904        29845808.008      -149135022.847            6544.360
